,Bus Stop,Trip ID,Scooter ID,EndLat,EndLong,End To Bus,StartLat,StartLong,Start to Bus
10728,4592,LIM4549,PoweredOIAXAHMOFTKWL,,,,36.138677,-86.800538,29.585626283677133
10730,4592,LIM4546,Powered5E4E4EFXSEU55,,,,36.138379,-86.800749,123.17924055007231
10732,4592,LIM4548,PoweredA7JNWZRBWO7DO,,,,36.138604,-86.800769,54.003819950943374
10734,4592,LIM4552,PoweredJUPYKIC36OSG6,,,,36.138826,-86.800425,76.03822176229194
10736,4188,LIM5003,PoweredPVIIGJ7XTWBM4,36.161246,-86.773435,225.24945928183024,,,
10737,4188,LIM4968,PoweredCA2ONKRTKEVF7,36.162147,-86.774052,151.80989406462407,,,
10738,114,LIM4970,PoweredUS2INOOLM2SYT,36.151553,-86.799068,180.22336447653365,,,
10739,4188,LIM4994,Powered3ZPCHCTLNK2WR,,,,36.162138,-86.774052,149.10101551150984
10741,4188,LIM5089,PoweredGNRQE4UGKVNMZ,36.16235,-86.774053,217.30805471067404,,,
10742,4596,LIM5148,PoweredMT36IQRCAQOXT,,,,36.15805,-86.784095,210.85150242386257
10744,4422,LIM5237,Powered7JGOE46QX27EV,36.166604,-86.780614,186.34623667546936,,,
10746,4188,LIM5201,PoweredQS7RTWIUIU72S,,,,36.162368,-86.773749,206.39213735450477
10747,4188,LIM5221,PoweredOAALVFZWS77Q6,,,,36.1621,-86.77412,151.15215548739616
10748,4188,LIM5259,PoweredGNRQE4UGKVNMZ,,,,36.162296,-86.773898,184.4025327116022
10749,4188,LIM5306,PoweredQILZXUCGQ4FQ4,,,,36.16206,-86.774232,167.13622608521325
10750,4188,LIM1687,PoweredCC7Z4AWWQVMMK,36.162379,-86.774101,232.78244706026325,,,
10751,4422,LIM54,Powered77F3SPMUGQ5LT,36.166445,-86.780798,129.87866878292834,,,
10754,4188,LIM111,PoweredGE5HDI2EDN4BF,,,,36.162068,-86.774207,162.8098128703915
10755,4188,LIM414,PoweredAE5QKKSVXWKNP,,,,36.161424,-86.773764,138.4197338204497
10756,4188,LIM440,Powered3R37VFAQJ7GTV,,,,36.161494,-86.773314,173.9661149880985
10757,4429,LIM552,Powered6C5AHXJAJKAX4,,,,36.165819,-86.781873,160.73695337809443
10758,487,LIM579,PoweredMWA2NEKTFGT6H,,,,36.157984,-86.783278,160.05278406771754
10759,4596,LIM585,PoweredOLITMYBPIYQLP,,,,36.157914,-86.784008,207.3162033964614
10761,4188,LIM626,PoweredK7VBEW7S2VHPG,,,,36.161727,-86.773661,40.927025286759836
10763,4188,LIM681,PoweredF67WWTXR3ZSGH,36.161963,-86.773956,81.56790560224884,,,
10764,4188,LIM764,PoweredF67WWTXR3ZSGH,,,,36.162048,-86.774299,181.61883692936718
10766,4418,LIM760,Powered6LPXBDNWNER26,36.165929,-86.781973,226.14963446425676,,,
10769,4418,LIM804,Powered6LPXBDNWNER26,,,,36.165966,-86.781798,213.38926967081727
10772,4188,LIM826,PoweredK7VBEW7S2VHPG,,,,36.161739,-86.773493,82.97370136022107
10773,487,LIM939,PoweredZ654BJZPRPNXC,36.158739,-86.782946,222.8283384186482,,,
10774,4188,LIM952,PoweredF67WWTXR3ZSGH,,,,36.16205,-86.774143,143.84934228162302
10775,4188,LIM993,PoweredFKJK22ET5UGXW,,,,36.161534,-86.773915,107.98538275953972
